txn_id,date,category,amount
t1936,2025-06-30,gas,37.69
t6495,2025-01-14,retail,30.28
t1721,2025-09-26,retail,135.44
t9121,2025-02-01,gas,25.7
t361,2025-05-04,other,37.87
t9664,2025-08-14,utilities,90.73
t5278,2025-08-22,other,94.7
t8547,2025-04-19,retail,55.64
t2222,2025-01-21,travel,373.37
t4618,2025-06-18,food,19.06
t3466,2025-07-11,food,21.17
t1409,2025-03-26,gas,49.69
t469,2025-10-24,other,87.38
t1176,2025-06-12,gas,45.19
t5225,2025-08-16,food,23.7
t8129,2025-07-20,gas,51.09
t425,2025-09-01,retail,109.84
t7048,2025-08-10,food,31.77
t2484,2025-01-23,entertainment,51.71
t1826,2025-10-23,utilities,107.49
t10558,2025-08-23,food,40.89
t1484,2025-02-26,travel,425.52
t9291,2025-08-11,other,34.49
t9710,2025-08-17,entertainment,41.57
t1651,2025-02-19,travel,459.11
t9787,2025-03-08,retail,117.12
t2814,2025-06-21,food,24.37
t3705,2025-08-03,entertainment,91.2
t6119,2025-07-20,utilities,129.1
t5043,2025-02-11,food,43.24
t11209,2025-08-30,food,31.43
t7239,2025-04-20,food,31.32
t11506,2025-09-25,gas,55.48
t11075,2025-02-14,other,38.3
t10997,2025-05-10,other,79.46
t5000,2025-06-17,retail,116.95
t8481,2025-10-04,other,115.1
t9268,2025-09-24,food,30.81
t8399,2025-05-17,food,26.29
t2632,2025-07-08,food,21.47
t3132,2025-07-07,other,52.1
t9584,2025-09-24,travel,492.7
t8219,2025-05-23,food,4.0
t9277,2025-07-29,other,41.29
t3814,2025-06-28,utilities,105.95
t5887,2025-10-27,utilities,174.77
t5083,2025-06-04,food,42.35
a56,2025-10-04,entertainment,749.0
t8824,2025-09-30,retail,110.56
t1218,2025-09-02,utilities,60.35
t3992,2025-06-07,other,97.76
t11148,2025-08-01,retail,114.35
t7616,2025-06-20,travel,199.74
t10692,2025-07-05,food,25.45
t10185,2025-03-23,other,68.52
t1684,2025-08-04,food,10.47
t4575,2025-04-30,retail,168.43
t11541,2025-10-20,travel,429.63
t10751,2025-05-13,entertainment,63.54
t11284,2025-01-26,food,31.37
t7563,2025-05-30,food,17.94
t5904,2025-04-15,utilities,136.85
t2583,2025-01-31,food,18.72
t3003,2025-08-03,other,50.49
t10044,2025-08-23,gas,40.29
t2088,2025-01-15,gas,25.57
t8929,2025-09-03,gas,77.32
t4149,2025-07-26,food,30.52
t136,2025-08-27,other,78.69
t9918,2025-05-25,travel,645.21
t1744,2025-02-24,entertainment,77.4
t7342,2025-07-12,food,32.96
t10875,2025-04-26,food,49.32
t3708,2025-01-07,entertainment,62.16
t5471,2025-04-19,utilities,185.08
t701,2025-06-08,food,27.4
t8558,2025-02-26,retail,88.97
t11716,2025-06-30,entertainment,77.13
t1609,2025-05-08,other,68.82
t5864,2025-01-21,retail,172.04
t430,2025-05-17,food,27.89
t4024,2025-09-27,food,43.5
t6689,2025-02-14,food,45.7
t4101,2025-04-03,retail,214.44
t8876,2025-09-03,entertainment,5.0
t8515,2025-03-27,gas,56.1
t9650,2025-08-25,food,14.93
t2271,2025-08-19,entertainment,66.81
t7693,2025-07-25,utilities,126.12
t71,2025-09-11,travel,810.56
t5721,2025-02-05,food,22.46
t10748,2025-08-03,gas,57.04
t10153,2025-02-23,food,28.61
a198,2025-04-19,other,1698.15
t9138,2025-04-30,food,47.18
t2020,2025-10-26,retail,75.54
t9837,2025-04-10,entertainment,41.35
t11352,2025-01-15,utilities,97.29
t6703,2025-08-24,food,30.25
t4030,2025-09-29,entertainment,71.47
t7760,2025-05-18,food,31.35
t11691,2025-10-25,food,31.96
t8484,2025-01-27,entertainment,23.87
t3859,2025-01-02,other,88.8
t745,2025-06-22,retail,109.18
t1384,2025-08-12,food,26.13
t5644,2025-05-04,food,21.89
t8686,2025-03-15,food,28.91
t10614,2025-05-02,utilities,250.29
t150,2025-06-15,other,84.83
a120,2025-08-19,travel,1502.31
t812,2025-05-14,retail,116.96
t5901,2025-04-10,food,31.66
t4329,2025-04-25,gas,46.78
t6374,2025-05-02,other,14.49
t3996,2025-06-04,food,26.35
t4383,2025-04-20,food,24.11
t1731,2025-04-26,other,60.58
t4360,2025-08-11,food,32.51
t5028,2025-08-12,gas,48.1
t1794,2025-08-21,travel,720.72
t9080,2025-01-28,utilities,126.23
t5467,2025-01-08,entertainment,43.96
t11128,2025-01-27,entertainment,30.79
t8487,2025-02-17,gas,36.02
t1122,2025-03-08,retail,141.57
t4619,2025-07-19,gas,47.47
t5938,2025-09-12,other,89.88
t9528,2025-01-22,food,35.78
t2035,2025-04-18,food,13.44
t3127,2025-05-18,utilities,107.01
t11065,2025-04-24,gas,53.76
a63,2025-05-08,other,1995.53
t3828,2025-07-22,travel,266.97
t4368,2025-03-14,utilities,145.69
t5298,2025-10-08,other,59.97
t3211,2025-08-09,other,98.34
t9929,2025-04-15,utilities,147.4
t2699,2025-08-07,gas,44.62
t8046,2025-06-07,food,24.53
t4280,2025-04-02,other,30.59
t374,2025-09-13,travel,270.38
t625,2025-07-20,entertainment,39.42
t11618,2025-05-28,food,21.93
t6097,2025-08-31,entertainment,62.09
t4984,2025-05-07,other,64.43
t3489,2025-03-31,retail,108.72
a220,2025-02-10,food,1995.59
t2037,2025-04-13,food,17.86
t8389,2025-06-04,retail,100.63
t748,2025-02-08,food,12.65
t9038,2025-04-04,utilities,101.13
t9146,2025-04-29,food,30.24
t4448,2025-03-16,gas,37.36
t11020,2025-05-16,utilities,144.98
t6744,2025-04-16,entertainment,36.12
t7503,2025-04-17,travel,445.39
t3101,2025-06-20,gas,54.24
t3300,2025-06-13,food,19.15
t6246,2025-09-12,food,44.6
t8293,2025-04-23,retail,100.32
t7567,2025-02-15,food,45.88
t3432,2025-04-14,food,36.36
t7119,2025-09-18,utilities,235.45
t6806,2025-02-10,utilities,117.16
t1262,2025-05-28,food,28.67
t648,2025-10-22,gas,60.61
t20,2025-02-11,food,27.13
t5609,2025-02-14,entertainment,47.73
t2146,2025-03-22,entertainment,39.02
t6921,2025-10-26,retail,133.28
t5923,2025-10-11,retail,67.47
t9412,2025-03-22,food,39.33
t2792,2025-04-08,retail,98.53
t4955,2025-07-05,retail,82.22
t6728,2025-07-19,utilities,148.21
t1906,2025-06-28,retail,118.92
t2022,2025-09-16,retail,132.86
t5358,2025-01-31,entertainment,120.15
t3502,2025-10-13,food,33.6
t1370,2025-01-01,food,32.28
t4768,2025-08-20,food,18.14
t1369,2025-07-11,utilities,103.73
t9374,2025-07-02,gas,77.6
t9785,2025-09-09,food,35.94
t1942,2025-09-24,entertainment,98.75
t7589,2025-02-02,retail,123.58
t1979,2025-07-18,utilities,69.17
t8727,2025-05-21,retail,112.11
t5365,2025-07-12,food,38.57
t3367,2025-09-27,food,20.48
t6619,2025-02-18,retail,96.03
t7114,2025-09-24,retail,161.41
t5047,2025-02-13,other,102.35
t3890,2025-04-04,gas,55.98
t3373,2025-06-30,food,29.41
t4554,2025-01-09,food,30.81
t11193,2025-05-21,food,21.06
t3046,2025-01-08,entertainment,15.76
t4811,2025-01-17,utilities,53.81
t2334,2025-03-09,entertainment,14.98
t840,2025-01-12,food,8.21
t5263,2025-07-19,food,37.5
t8517,2025-07-30,retail,109.33
t10905,2025-07-03,retail,91.61
t1435,2025-03-15,other,111.49
t3858,2025-10-09,gas,54.43
t4602,2025-08-22,travel,402.31
t2674,2025-07-27,food,30.34
t5181,2025-08-06,travel,722.14
t488,2025-03-06,food,14.27
t5518,2025-06-26,entertainment,95.27
t534,2025-02-05,entertainment,46.43
t7603,2025-06-17,entertainment,77.56
t7607,2025-02-01,entertainment,24.06
t6082,2025-07-20,gas,79.02
t2961,2025-04-20,food,36.22
t2184,2025-02-20,gas,72.37
t10965,2025-07-03,other,137.79
t4169,2025-05-16,utilities,191.76
t5720,2025-07-29,gas,80.37
t11204,2025-10-05,utilities,153.37
t11556,2025-04-01,retail,126.33
t7092,2025-04-15,food,21.08
t9327,2025-08-11,travel,574.37
t6715,2025-05-21,entertainment,79.88
t201,2025-01-24,entertainment,75.08
a13,2025-10-07,entertainment,4998.54
t2211,2025-02-02,gas,54.07
t8252,2025-07-17,gas,69.92
t7839,2025-02-09,food,39.26
t9120,2025-03-03,entertainment,70.25
t8762,2025-05-20,food,36.29
t9118,2025-05-23,utilities,138.3
t11719,2025-05-12,retail,167.79
t2445,2025-01-03,retail,98.03
t3313,2025-02-03,retail,56.62
t219,2025-10-26,gas,45.57
t2616,2025-08-08,food,33.75
t8030,2025-04-08,food,19.62
t3778,2025-06-02,food,17.06
t4630,2025-09-11,entertainment,41.97
t10737,2025-07-21,other,122.27
t9193,2025-03-08,retail,70.44
a239,2025-03-02,utilities,754.45
t11752,2025-06-25,utilities,79.02
t7190,2025-01-05,other,37.84
t11591,2025-08-09,travel,444.14
t1671,2025-06-17,retail,151.3
t1189,2025-07-05,other,120.21
t1615,2025-01-30,gas,68.57
t2341,2025-06-12,food,44.33
t5668,2025-10-24,gas,86.95
t2874,2025-09-14,retail,132.99
t5944,2025-05-29,food,29.63
t3018,2025-05-01,entertainment,45.22
t4093,2025-02-26,food,14.68
t3291,2025-02-14,gas,76.83
t96,2025-08-28,food,25.0
t3404,2025-01-01,entertainment,11.1
t11578,2025-07-25,retail,156.53
t7189,2025-08-24,entertainment,48.91
t5803,2025-04-18,gas,25.97
t3099,2025-07-24,utilities,176.26
t3419,2025-07-26,food,24.85
t7635,2025-10-14,retail,191.13
t11044,2025-09-22,other,71.21
t9718,2025-10-08,retail,140.24
t1414,2025-10-20,entertainment,89.04
a34,2025-01-27,other,1345.4
t7316,2025-07-11,gas,40.49
t1374,2025-01-03,gas,54.59
t2361,2025-06-02,gas,70.46
t2058,2025-07-02,utilities,184.9
t3149,2025-08-10,retail,104.37
t5014,2025-08-17,food,32.48
t4505,2025-03-07,utilities,165.41
t9404,2025-02-14,retail,114.92
t9647,2025-09-26,food,23.23
t4405,2025-07-11,retail,114.75
t857,2025-09-13,food,31.03
t5177,2025-08-10,food,28.76
t10550,2025-10-24,travel,602.0
t10659,2025-04-10,food,25.55
t2320,2025-10-10,food,4.0
t9762,2025-04-08,other,54.8
