txn_id,date,category,amount,cat_mean,cat_std,zscore,flag_zscore,iqr_lower,iqr_upper,flag_iqr,flag_any,flag_both
t1936,2025-06-30,gas,37.69,84.77808823529412,299.82713509904016,-0.15705078934813485,False,7.237500000000004,105.4575,False,False,False
t6495,2025-01-14,retail,30.28,124.89857504215851,219.24133142644965,-0.4315727076940364,False,-22.277500000000018,232.74250000000004,False,False,False
t1721,2025-09-26,retail,135.44,124.89857504215851,219.24133142644965,0.04808137630462205,False,-22.277500000000018,232.74250000000004,False,False,False
t9121,2025-02-01,gas,25.7,84.77808823529412,299.82713509904016,-0.19704049873864551,False,7.237500000000004,105.4575,False,False,False
t361,2025-05-04,other,37.87,118.9148635235732,265.9113593143569,-0.3047815021236571,False,-24.800000000000004,183.36,False,False,False
t9664,2025-08-14,utilities,90.73,171.57908333333333,313.758289057824,-0.2576795136667553,False,8.457499999999982,252.4375,False,False,False
t5278,2025-08-22,other,94.7,118.9148635235732,265.9113593143569,-0.09106366717845517,False,-24.800000000000004,183.36,False,False,False
t8547,2025-04-19,retail,55.64,124.89857504215851,219.24133142644965,-0.315901087589377,False,-22.277500000000018,232.74250000000004,False,False,False
t2222,2025-01-21,travel,373.37,726.4738322368421,1221.1300231853377,-0.2891615352440234,False,-154.4500000000001,1171.0900000000001,False,False,False
t4618,2025-06-18,food,19.06,36.979938162544165,168.11786331631885,-0.10659151745717385,False,1.118749999999995,51.88875,False,False,False
t3466,2025-07-11,food,21.17,36.979938162544165,168.11786331631885,-0.09404079882217684,False,1.118749999999995,51.88875,False,False,False
t1409,2025-03-26,gas,49.69,84.77808823529412,299.82713509904016,-0.11702772740600573,False,7.237500000000004,105.4575,False,False,False
t469,2025-10-24,other,87.38,118.9148635235732,265.9113593143569,-0.11859163747229433,False,-24.800000000000004,183.36,False,False,False
t1176,2025-06-12,gas,45.19,84.77808823529412,299.82713509904016,-0.13203637563430415,False,7.237500000000004,105.4575,False,False,False
t5225,2025-08-16,food,23.7,36.979938162544165,168.11786331631885,-0.07899183287594823,False,1.118749999999995,51.88875,False,False,False
t8129,2025-07-20,gas,51.09,84.77808823529412,299.82713509904016,-0.11235837017942397,False,7.237500000000004,105.4575,False,False,False
t425,2025-09-01,retail,109.84,124.89857504215851,219.24133142644965,-0.06868492790197413,False,-22.277500000000018,232.74250000000004,False,False,False
t7048,2025-08-10,food,31.77,36.979938162544165,168.11786331631885,-0.03098979525299765,False,1.118749999999995,51.88875,False,False,False
t2484,2025-01-23,entertainment,51.71,94.38987458745875,235.87284393375344,-0.18094441850815896,False,-9.917500000000004,143.7025,False,False,False
t1826,2025-10-23,utilities,107.49,171.57908333333333,313.758289057824,-0.20426259821145967,False,8.457499999999982,252.4375,False,False,False
t10558,2025-08-23,food,40.89,36.979938162544165,168.11786331631885,0.023257860648032,False,1.118749999999995,51.88875,False,False,False
t1484,2025-02-26,travel,425.52,726.4738322368421,1221.1300231853377,-0.24645519029316723,False,-154.4500000000001,1171.0900000000001,False,False,False
t9291,2025-08-11,other,34.49,118.9148635235732,265.9113593143569,-0.3174925048003205,False,-24.800000000000004,183.36,False,False,False
t9710,2025-08-17,entertainment,41.57,94.38987458745875,235.87284393375344,-0.2239336826849537,False,-9.917500000000004,143.7025,False,False,False
t1651,2025-02-19,travel,459.11,726.4738322368421,1221.1300231853377,-0.21894788201130225,False,-154.4500000000001,1171.0900000000001,False,False,False
t9787,2025-03-08,retail,117.12,124.89857504215851,219.24133142644965,-0.03547951014322333,False,-22.277500000000018,232.74250000000004,False,False,False
t2814,2025-06-21,food,24.37,36.979938162544165,168.11786331631885,-0.07500653359374539,False,1.118749999999995,51.88875,False,False,False
t3705,2025-08-03,entertainment,91.2,94.38987458745875,235.87284393375344,-0.013523704273284826,False,-9.917500000000004,143.7025,False,False,False
